branch_id,branch_index,initial_state,alice_message,bob_message,bell_branch_12,bell_branch_34,bell_branch_56,M_B,tilde_M_B,M_A,tilde_M_A,K_A_otp_hex,K_B_otp_hex,C_A_hex,C_B_hex,ciphertext_A_formula,ciphertext_B_formula,ciphertext_formulas_valid,message_relations_valid,decoded_intermediates,passed_classical_quantum_input,Out_A,Out_B,executor_recovered_by_alice,executor_recovered_by_bob,gamma_A_valid,gamma_B_valid,terminal_state,logical_erasure,branch_success
phi1-A00-B10-11_00_01,10,phi1,00,10,11,00,01,10,00,01,01,b9,7b,b8,7b,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""11"", ""00"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,00,10,00,True,True,COMPLETED,True,True
phi1-A00-B10-11_01_10,11,phi1,00,10,11,01,10,11,01,10,10,9d,1c,9f,1d,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""11"", ""01"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,00,10,00,True,True,COMPLETED,True,True
phi1-A00-B11-00_10_10,12,phi1,00,11,00,10,10,01,10,10,10,3b,97,39,95,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""00"", ""10"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""11"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",11,00,11,00,True,True,COMPLETED,True,True
phi1-A00-B11-00_11_01,13,phi1,00,11,00,11,01,00,11,01,01,a0,8a,a1,89,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""00"", ""11"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""11"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",11,00,11,00,True,True,COMPLETED,True,True
phi1-A00-B11-11_00_10,14,phi1,00,11,11,00,10,11,00,10,10,31,13,33,13,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""11"", ""00"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""11"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",11,00,11,00,True,True,COMPLETED,True,True
phi1-A00-B11-11_01_01,15,phi1,00,11,11,01,01,10,01,01,01,a3,bf,a2,be,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""11"", ""01"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""11"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",11,00,11,00,True,True,COMPLETED,True,True
phi1-A01-B00-00_00_00,16,phi1,01,00,00,00,00,00,00,01,00,d7,47,d7,47,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""00"", ""00"", ""00""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,01,00,01,True,True,COMPLETED,True,True
phi1-A01-B00-00_01_11,17,phi1,01,00,00,01,11,01,01,10,11,d0,40,d3,41,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""00"", ""01"", ""11""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,01,00,01,True,True,COMPLETED,True,True
phi1-A01-B00-11_10_00,18,phi1,01,00,11,10,00,10,10,01,00,18,76,18,74,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""11"", ""10"", ""00""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,01,00,01,True,True,COMPLETED,True,True
phi1-A01-B00-11_11_11,19,phi1,01,00,11,11,11,11,11,10,11,42,79,41,7a,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""11"", ""11"", ""11""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,01,00,01,True,True,COMPLETED,True,True
phi1-A01-B01-00_00_11,20,phi1,01,01,00,00,11,01,00,10,11,eb,d4,e8,d4,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""00"", ""00"", ""11""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,01,01,01,True,True,COMPLETED,True,True
phi1-A01-B01-00_01_00,21,phi1,01,01,00,01,00,00,01,01,00,2d,49,2d,48,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""00"", ""01"", ""00""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,01,01,01,True,True,COMPLETED,True,True
phi1-A01-B01-11_10_11,22,phi1,01,01,11,10,11,11,10,10,11,d1,1c,d2,1e,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""11"", ""10"", ""11""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,01,01,01,True,True,COMPLETED,True,True
phi1-A01-B01-11_11_00,23,phi1,01,01,11,11,00,10,11,01,00,99,ae,99,ad,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""11"", ""11"", ""00""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,01,01,01,True,True,COMPLETED,True,True
phi1-A01-B10-00_10_00,24,phi1,01,10,00,10,00,00,10,01,00,3e,4e,3e,4c,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""00"", ""10"", ""00""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,01,10,01,True,True,COMPLETED,True,True
phi1-A01-B10-00_11_11,25,phi1,01,10,00,11,11,01,11,10,11,44,0f,47,0c,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""00"", ""11"", ""11""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,01,10,01,True,True,COMPLETED,True,True
phi1-A01-B10-11_00_00,26,phi1,01,10,11,00,00,10,00,01,00,af,9e,af,9e,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""11"", ""00"", ""00""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""00"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,01,10,01,True,True,COMPLETED,True,True
phi1-A01-B10-11_01_11,27,phi1,01,10,11,01,11,11,01,10,11,77,c6,74,c7,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""11"", ""01"", ""11""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""01"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""11"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,01,10,01,True,True,COMPLETED,True,True
