branch_index,initial_state,alice_message,bob_message,bell_branch_12,bell_branch_34,bell_branch_56,M_B,tilde_M_B,M_A,tilde_M_A,C_A_hex,C_B_hex,ciphertext_A_formula,ciphertext_B_formula,decoded_intermediates,executor_consumed_bell_labels,recovered_alice_message,recovered_bob_message,initial_leader,terminal_state,gamma_A_valid,gamma_B_valid,logical_erasure,commitment_ciphertext_mask_link,maximum_information_lead,branch_success
27,phi1,01,10,11,01,11,11,01,10,11,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|01|11,01,10,Bob,COMPLETED,True,True,True,True,1,True
28,phi1,01,11,00,10,11,01,10,10,11,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|10|11,01,11,Alice,COMPLETED,True,True,True,True,1,True
29,phi1,01,11,00,11,00,00,11,01,00,0000000202,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|11|00,01,11,Bob,COMPLETED,True,True,True,True,1,True
30,phi1,01,11,11,00,11,11,00,10,11,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|00|11,01,11,Alice,COMPLETED,True,True,True,True,1,True
31,phi1,01,11,11,01,00,10,01,01,00,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|01|00,01,11,Bob,COMPLETED,True,True,True,True,1,True
32,phi1,10,00,00,00,11,00,00,01,11,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|00|11,10,00,Alice,COMPLETED,True,True,True,True,1,True
33,phi1,10,00,00,01,00,01,01,10,00,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|01|00,10,00,Bob,COMPLETED,True,True,True,True,1,True
34,phi1,10,00,11,10,11,10,10,01,11,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|10|11,10,00,Alice,COMPLETED,True,True,True,True,1,True
35,phi1,10,00,11,11,00,11,11,10,00,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|11|00,10,00,Bob,COMPLETED,True,True,True,True,1,True
36,phi1,10,01,00,00,00,01,00,10,00,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|00|00,10,01,Alice,COMPLETED,True,True,True,True,1,True
37,phi1,10,01,00,01,11,00,01,01,11,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|01|11,10,01,Bob,COMPLETED,True,True,True,True,1,True
38,phi1,10,01,11,10,00,11,10,10,00,0000000201,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|10|00,10,01,Alice,COMPLETED,True,True,True,True,1,True
39,phi1,10,01,11,11,11,10,11,01,11,0000000202,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|11|11,10,01,Bob,COMPLETED,True,True,True,True,1,True
40,phi1,10,10,00,10,11,00,10,01,11,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|10|11,10,10,Alice,COMPLETED,True,True,True,True,1,True
41,phi1,10,10,00,11,00,01,11,10,00,0000000203,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|11|00,10,10,Bob,COMPLETED,True,True,True,True,1,True
42,phi1,10,10,11,00,11,10,00,01,11,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|00|11,10,10,Alice,COMPLETED,True,True,True,True,1,True
43,phi1,10,10,11,01,00,11,01,10,00,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|01|00,10,10,Bob,COMPLETED,True,True,True,True,1,True
44,phi1,10,11,00,10,00,01,10,10,00,0000000203,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|10|00,10,11,Alice,COMPLETED,True,True,True,True,1,True
45,phi1,10,11,00,11,11,00,11,01,11,0000000201,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|11|11,10,11,Bob,COMPLETED,True,True,True,True,1,True
46,phi1,10,11,11,00,00,11,00,10,00,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|00|00,10,11,Alice,COMPLETED,True,True,True,True,1,True
47,phi1,10,11,11,01,11,10,01,01,11,0000000203,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|01|11,10,11,Bob,COMPLETED,True,True,True,True,1,True
48,phi1,11,00,00,00,10,00,00,01,10,0000000201,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|00|10,11,00,Alice,COMPLETED,True,True,True,True,1,True
49,phi1,11,00,00,01,01,01,01,10,01,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|01|01,11,00,Bob,COMPLETED,True,True,True,True,1,True
50,phi1,11,00,11,10,10,10,10,01,10,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|10|10,11,00,Alice,COMPLETED,True,True,True,True,1,True
51,phi1,11,00,11,11,01,11,11,10,01,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|11|01,11,00,Bob,COMPLETED,True,True,True,True,1,True
52,phi1,11,01,00,00,01,01,00,10,01,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|00|01,11,01,Alice,COMPLETED,True,True,True,True,1,True
53,phi1,11,01,00,01,10,00,01,01,10,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|01|10,11,01,Bob,COMPLETED,True,True,True,True,1,True
54,phi1,11,01,11,10,01,11,10,10,01,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|10|01,11,01,Alice,COMPLETED,True,True,True,True,1,True
55,phi1,11,01,11,11,10,10,11,01,10,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|11|10,11,01,Bob,COMPLETED,True,True,True,True,1,True
56,phi1,11,10,00,10,10,00,10,01,10,0000000201,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|10|10,11,10,Alice,COMPLETED,True,True,True,True,1,True
57,phi1,11,10,00,11,01,01,11,10,01,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|11|01,11,10,Bob,COMPLETED,True,True,True,True,1,True
58,phi1,11,10,11,00,10,10,00,01,10,0000000201,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|00|10,11,10,Alice,COMPLETED,True,True,True,True,1,True
59,phi1,11,10,11,01,01,11,01,10,01,0000000202,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|01|01,11,10,Bob,COMPLETED,True,True,True,True,1,True
